launch_success,launch_failure_reason,launch_max_q_pa,launch_max_g,launch_t_insertion_s,launch_parking_perigee_km,launch_parking_apogee_km,tli_dv_ms,full_success,mission_failure,trial,trial_time_s,closest_approach_km,periapsis_alt_km,mcc_dv_ms,mcc_n_burns,tlmcc_n_exec,tlmcc_ca_miss_km,loi_dv_ms,loi_burn_time_s,loi_tilt_deg,loi2_circ_dv_ms,loi2_burn_time_s,loi2_tilt_deg,loi_flown,lunar_orbit_periselene_km,lunar_orbit_aposelene_km,doi_dv_ms,doi_burn_time_s,descent_success,descent_reason,fuel_margin_s,prop_remaining_kg,touchdown_v_radial_ms,touchdown_v_horiz_ms,land_lat_deg,land_lon_deg,land_downrange_err_m,agc_1202_alarm,agc_1202_recovered,lr_dropout,hard_landing,lowlevel_light_early_s,surf_feedwater_margin_lb,surf_o2_margin_lb,surf_eva_aborted,lm_stay_o2_margin_lb,lm_stay_water_margin_lb,lm_stay_batt_margin_ah,ascent_success,ascent_alt_km,aps_prop_remaining_kg,rendezvous_coelliptic_dv_ms,rendezvous_dv_required_ms,rendezvous_dv_available_ms,rendezvous_plane_angle_deg,csm_mass_at_tei_kg,tei_alignment_cos,lunar_orbit_handedness,tei_source,tei_ei_err_min,tei_dv_ms,tei_burn_time_s,tei_ignition_t_s,fpa_at_entry_deg,entry_speed_ms,reached_entry,mcc_total_dv_ms,temcc_n_exec,ei_lat,ei_lon,ei_t_s,recovery_zone_lat,recovery_zone_lon,recovery_zone_displacement_km,entry_success,max_g,max_q_pa,parachute_mains_lost,splash_velocity_ms,chute_descent_s,chute_wind_drift_km,cm_flotation,cm_uprighting_s,recovery_duration_s,splash_lat,splash_lon,splash_miss_km,sm_failure_get_h,cm_uprighting_failed,spe_significant
True,,35240.50735499073,3.9918020066425575,704.9036940717198,184.99993084614164,185.0000691539124,3143.031866185299,True,,0,496.7813289165497,6368.131139949513,115.32997574950988,5.886699861375809,3.0,1.0,28.299494704831947,877.3914925621551,357.11675558358945,6.617585381400177,42.782769681941474,14.945454210409958,12.0,True,100.72616946283776,121.63721275227354,23.766235113604488,31.190239442794763,True,touchdown,100.13855070142252,402.0615048605117,-2.371111411609508,0.0767637671623176,0.4130424898786976,27.432513477514863,5823.406784122535,True,True,False,False,18.891747754261026,4.844,0.71,False,31.0,70.5,544.7,True,24.109764793581096,504.74112721217216,31.317534840798544,42.19899220619513,695.1638087937804,0.0300489957900498,16686.79334351465,0.9999483897810092,-1.0,refine,0.0056832433464781,997.8241801286814,151.8324310996657,487692.0,-6.497606565605244,11032.166368981929,True,0.2846944283707608,1.0,-7.330021886753986,175.76259065275605,702330.5220526734,13.430196155142731,-170.14385807847162,62.27025492767921,True,6.542123472196368,24013.02336846344,0.0,9.8,387.4,1.247,stable_2,420.0,4200.0,13.423647519687622,-170.13376777392745,1.313424395444035,,,
True,,35407.20905001804,3.010279025898682,719.9944515630118,188.9874968072157,197.48052687779068,3146.8994389198288,True,,1,466.1930241584778,6141.699679172632,128.13063886446506,32.17306465149103,3.0,1.0,23.081470880920644,880.3873791056627,353.8555866863082,5.064184561187242,42.767258853396925,14.76061661353229,12.0,True,100.72919433036424,121.63096542835468,23.74145982567822,31.16900191763467,True,touchdown,88.89650140853708,354.6800004883491,-2.371111411609508,0.0848217791132113,0.5332389157281822,30.44673012939961,1697.8053374236829,False,True,False,False,15.755251273628,2.567,0.544,False,31.0,70.5,544.7,True,24.413549869601614,510.3324638969966,31.336941548583354,45.42707445165329,701.5089668768527,0.13945689829714,16443.73728929867,0.9999960602246172,-1.0,refine,-1.135951181332348,999.7243478260928,149.3332166256829,487662.0,-6.367311581578686,11032.140485260285,True,0.7574809512800244,1.0,-7.119207903523886,175.92790713847427,702326.3829009568,13.63793423880615,-169.97102245016686,91.54729398647338,True,6.165024872336148,22704.8354407642,0.0,9.8,387.4,3.211,stable_1,0.0,3780.0,13.609813075089324,-169.96104237443407,3.311405162668023,,,
True,,26223.192049152764,2.9529227851360096,807.8431398148368,184.99986168262828,185.0001382981697,3143.076539329838,True,,2,549.7587304115295,6193.744230817753,115.34365489848656,5.0351595452813065,3.0,1.0,6.313809014503155,877.2811641804152,356.8521378297104,6.397006429282702,42.77291631158253,14.94195570891356,12.0,True,100.73358779121747,121.62608836945658,23.77223516889877,31.19453851781587,True,touchdown,93.27463561552084,373.061374116564,-2.371111411609508,0.0745784408794874,0.5408579553733491,26.463058226778283,3012.877472191893,False,True,True,False,18.156858860645443,4.273,0.667,False,31.0,70.5,544.7,True,25.02195547942072,507.1965429792731,31.37349601695996,49.20655274699049,697.9518883748843,0.2671664975608926,16734.051013030978,0.9999692136472612,-1.0,refine,-0.0801241286913864,999.8012829188896,152.3885502928429,487662.0,-6.552617214450989,11032.14036853451,True,0.1450652646820907,1.0,-7.421234021165394,175.7115753789539,702328.459671073,13.344817013461066,-170.2047303240238,51.28804629526265,True,7.324257165867228,26988.18134487492,0.0,9.8,387.4,0.541,stable_2,420.0,4200.0,13.3462625823481,-170.18844564563818,1.7711740250907917,,,
True,,35351.8392014856,3.966834020995914,933.7343670844168,184.9999999998864,184.9999999998864,3142.1587121845414,False,sm_failure_lunar_orbit,3,91.951575756073,7696.787833341735,110.6979100455332,4.8092730930653405,1.0,1.0,22.02179984558133,877.4439390373852,356.1522219305466,7.632929851041926,42.74834388310089,14.902358669655989,12.0,True,100.75997671378846,121.5925730310462,23.58001236184815,31.03445176434138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.52604543508455,,
True,,35394.33324509,4.021962670132887,701.9131402526411,184.99999999992085,184.99999999992085,3142.359704669584,True,,4,593.6559653282166,7245.860097548941,118.27322336966104,1.8809950275331715,3.0,1.0,24.227823538609467,878.6783467357927,356.78505489084625,6.12497709143396,42.769921585942505,14.905737619142633,12.0,True,100.7398896833323,121.61754954133391,23.7770046257485,31.198855418197716,True,touchdown,75.03452226542423,297.07031057305755,-2.371111411609508,0.0781275026616644,0.4323207677225799,27.85509448473403,5830.9339636590485,False,True,True,False,18.327262235067835,3.92,0.642,False,31.0,70.5,544.7,True,25.485478361793096,503.4321727779393,31.39043238978911,42.63254638916497,693.6764728622472,0.0423764375844503,16731.331921520192,0.9999664186363828,-1.0,refine_chain,,999.4564088019428,151.92043465957352,487662.0,-6.532838005717837,11032.169751666872,True,2.992681123302537,2.0,-7.388188045058248,175.72121607332633,702337.2361702663,13.379344661907334,-170.19684485381345,54.25911379688187,True,6.912089795650755,25050.529555028603,0.0,9.8,387.4,1.881,stable_1,0.0,3780.0,13.408026525752554,-170.19566594210357,3.195401835645133,,,
True,,35362.11858990292,4.034396984897539,691.3210647555014,184.9998801930696,185.0001197491549,3143.4324139103464,True,,5,988.9595160484314,5811.050770289625,85.85486480722832,9.232134854361272,3.0,1.0,32.149961757587555,881.090186508651,354.42266146356764,,45.0,15.526526174197068,,True,89.09113848327635,97.87514437060152,20.628567756443847,28.57111651639164,True,touchdown,82.5861584735031,328.34416125660846,-2.371111411609508,0.0381976979331527,-4.176487499645379,-80.0825633108151,3098.1666669911,False,True,False,False,14.023235338277598,2.431,0.536,False,31.0,70.5,544.7,True,25.229047208226756,517.2032131464512,21.549311314135597,43.569402141671965,709.2879931029621,0.410024054460094,16613.006604183403,0.9999459302406026,-1.0,refine,5.372246678289957,1021.0811787341892,152.58727188105877,490992.0,-6.535358120624919,11035.186176583817,True,14.152517824815211,3.0,-7.378069047983346,175.73241561412888,702396.329516593,13.42969281939099,-170.2452829248582,54.09917848756369,True,7.285151758777236,26363.636468443703,0.0,9.8,387.4,3.301,stable_1,0.0,3780.0,13.460187104778267,-170.2125535343498,4.907161220363177,,,
True,,35266.37192967684,4.004484855615745,688.3391927858016,185.0000003872821,185.0000003872821,3142.9585222993483,True,,6,1029.5419516563416,6328.280789863432,111.56799905566264,4.225472816617609,3.0,1.0,13.382224631219598,876.6027350444349,357.61624265161754,7.433067521939143,42.733958588115925,14.971638125046043,12.0,True,100.75990069958031,121.59079809922795,23.66673092602411,31.107396638678868,True,touchdown,85.5650070236158,340.75308747759186,-2.371111411609508,0.066484901357821,0.1114212980337871,24.655111620055912,4211.54198182942,True,True,False,False,19.72624993940593,3.967,0.648,False,31.0,70.5,544.7,True,23.35944995923969,498.9831747523963,31.085915657301484,44.87124081861149,688.6157457042513,0.1289880812681779,16741.41682200574,0.9999625735444744,-1.0,seed_chain,,998.7501710178808,152.705925997492,487692.0,-6.4389217677294495,11032.24083950396,True,7.566174955038424,2.0,-7.236620364423114,175.82032926747493,702341.4855997983,13.575484809873078,-170.16189892602608,72.1999908730838,True,6.428519968037643,22994.595729623616,0.0,9.8,387.4,0.682,stable_1,0.0,3780.0,13.594489519546553,-170.16014983706992,2.1240433086546338,,,
True,,35367.30790210206,4.0163085403685415,690.482943716829,184.9999308144124,185.00006912218316,3142.58919008434,True,,7,1155.6681914329529,6929.383740325004,106.92574036727568,1.7466268619186212,3.0,1.0,5.069211681812265,883.9356517701892,359.50965405510385,,40.0,13.965776671145044,,True,110.31206766697042,120.52445641184389,23.43866695994288,30.89760854500624,True,touchdown,78.04000716361797,309.48557359124976,-2.371111411609508,0.0149406038784094,-0.371331978141895,15.826045026997836,3416.4354939596824,False,True,False,False,21.608699274199708,2.958,0.575,False,31.0,70.5,544.7,True,24.59644939173362,511.1788210341269,29.817571187448493,40.34217925494157,702.4682801852048,0.0178888280811643,16745.445593095195,0.9999687283011568,-1.0,refine,109.06994197403158,1060.6357985025547,160.25281349302531,487752.0,-6.458335670348749,11028.07216025654,True,0.9255402392076908,1.0,-7.342483234456246,175.75366413422807,708834.678405996,13.046717462996346,161.12675304917695,3065.1537015226327,True,6.543086889166684,24522.143106736246,0.0,9.8,387.4,2.576,stable_1,0.0,3780.0,13.051232572728054,161.10883783020836,2.0067774554749187,,,
True,,35341.77619686796,4.006237011115613,699.8638585561604,185.00000000100025,185.00000000100025,3142.347407548683,True,,8,552.8108096122742,7374.594223844553,120.14135066935864,1.9230331827675036,3.0,1.0,14.67575298784332,879.3675391269758,358.39870585451814,5.7378697166938615,42.769336585261456,14.955309579750942,12.0,True,100.73805958328956,121.6174262464624,23.78486486644008,31.20494314447705,True,touchdown,34.76663554163701,134.63636110155153,-2.371111411609508,0.0792038873131818,0.5806186779778747,28.0838651528702,5487.63091731644,False,True,False,False,21.634307366416675,3.411,0.606,False,31.0,70.5,544.7,True,22.05583595528081,520.1743821396362,31.40419938335117,50.85056320651369,712.645799532449,0.321658266927986,16706.311595855226,0.9999978733739696,-1.0,refine,2.975270666315919,998.2625592665988,152.11963434523895,487662.0,-6.45176153786663,11028.851727125755,True,41.971289151763294,3.0,-7.528359647524569,175.62478695760748,702494.3459754792,13.463269351034,-170.63302179227708,42.89622452771522,True,6.430746404525619,23610.953304291423,0.0,9.8,387.4,4.547,stable_1,0.0,3780.0,13.45788595606623,-170.5771876963278,6.074321213925638,,,
True,,35350.3265922968,3.98220751217302,692.9936630050637,185.00000000000367,185.00000000000367,3142.6274520769675,True,,9,842.3523449897766,6736.011981094458,111.05247675906143,1.3989381551562423,3.0,1.0,6.904612291654107,876.7310102965558,359.51125324410793,7.564154516640433,42.7370070351225,15.047802272760094,12.0,True,100.75876126692305,121.59136238771258,23.621863216639976,31.069980996984988,True,touchdown,59.58368080556647,233.8930958157517,-2.371111411609508,0.0650630040462982,0.1748333088236629,24.02152044270584,-109.34536606189248,False,True,False,False,13.449128315085945,3.283,0.597,False,31.0,70.5,544.7,True,26.465158996555022,503.033179579817,31.05024439383692,44.44316007198288,693.2229614466827,0.115817503692425,16762.746288443937,0.9999555124904784,-1.0,seed_chain,,997.0922720158776,153.33275983294286,487692.0,-6.332672556512824,11032.33065367308,True,5.129905168790012,2.0,-7.059028788137403,175.94789500363746,702330.0718075465,13.701588091943488,-169.9552888539157,97.6840216714523,True,5.98373891667116,21977.864079937583,0.0,9.8,387.4,2.152,stable_2,420.0,4200.0,13.725878114820606,-169.94292804976837,3.016342289593723,,,True
