launch_success,launch_failure_reason,launch_max_q_pa,launch_max_g,launch_t_insertion_s,launch_parking_perigee_km,launch_parking_apogee_km,tli_dv_ms,full_success,mission_failure,trial,trial_time_s,closest_approach_km,periapsis_alt_km,mcc_dv_ms,mcc_n_burns,tlmcc_n_exec,tlmcc_ca_miss_km,loi_dv_ms,loi_burn_time_s,loi_tilt_deg,loi2_circ_dv_ms,loi2_burn_time_s,loi2_tilt_deg,loi_flown,lunar_orbit_periselene_km,lunar_orbit_aposelene_km,doi_dv_ms,doi_burn_time_s,descent_success,descent_reason,fuel_margin_s,prop_remaining_kg,touchdown_v_radial_ms,touchdown_v_horiz_ms,land_lat_deg,land_lon_deg,land_downrange_err_m,agc_1202_alarm,agc_1202_recovered,lr_dropout,hard_landing,lowlevel_light_early_s,surf_feedwater_margin_lb,surf_o2_margin_lb,surf_eva_aborted,lm_stay_o2_margin_lb,lm_stay_water_margin_lb,lm_stay_batt_margin_ah,ascent_success,ascent_alt_km,aps_prop_remaining_kg,rendezvous_coelliptic_dv_ms,rendezvous_dv_required_ms,rendezvous_dv_available_ms,rendezvous_plane_angle_deg,csm_mass_at_tei_kg,tei_alignment_cos,lunar_orbit_handedness,tei_source,tei_ei_err_min,tei_dv_ms,tei_burn_time_s,tei_ignition_t_s,fpa_at_entry_deg,entry_speed_ms,reached_entry,mcc_total_dv_ms,temcc_n_exec,ei_lat,ei_lon,ei_t_s,recovery_zone_lat,recovery_zone_lon,recovery_zone_displacement_km,entry_success,max_g,max_q_pa,parachute_mains_lost,splash_velocity_ms,chute_descent_s,chute_wind_drift_km,cm_flotation,cm_uprighting_s,recovery_duration_s,splash_lat,splash_lon,splash_miss_km,sm_failure_get_h,cm_uprighting_failed,spe_significant,psurv_Armstrong,survived_Armstrong,dcause_Armstrong,psurv_Aldrin,survived_Aldrin,dcause_Aldrin,psurv_Collins,survived_Collins,dcause_Collins,n_astronauts_survived,crew_survived,crew_survival_prob,crew_outcome,mission_success
True,,35240.50735499073,3.9918020066425575,704.9036940717198,184.99993084614164,185.0000691539124,3143.095189127036,True,,0,459.8613579273224,6222.308287837406,112.6394299641517,6.117278951778751,3.0,1.0,11.440628818481708,876.8610933984842,356.9034277236607,6.967760652183456,42.804270816347454,14.954369645442457,12.0,True,100.69921678371333,121.67806482734088,23.807774722327228,31.22149602568724,True,touchdown,100.65374227338609,404.247238389079,-2.371111411609508,0.0611225551588937,0.4408258094258993,23.814521715499616,5823.406784122535,True,True,False,False,18.891747754261026,4.307,0.67,False,31.0,70.5,544.7,True,24.10957344851154,504.7419562297132,31.4693719632362,42.35285238567215,695.1647505582503,0.0301179588433507,16689.778308653906,0.9999174191099792,-1.0,refine,0.4834048189261618,1011.922946146315,153.6721280626576,487602.0,-6.442868445246898,11032.362844985106,True,0.3102739946885165,1.0,-10.40764422546074,-177.379717582627,702139.6198857394,13.49244764522436,-169.8626137168835,12.772116284970108,True,6.288656091777202,23082.66518200976,0.0,9.8,387.4,2.06,stable_1,0.0,3780.0,13.513793249547811,-169.84080445750632,3.349488263144568,,,,1.0,True,,1.0,True,,1.0,True,,3,True,1.0,nominal_splashdown,True
True,,35407.20905001804,3.010279025898682,719.9944515630118,188.9874968072157,197.48052687779068,3146.9625377621023,True,,1,440.4006190299988,6172.541948235154,112.40442921600514,32.868868781654086,3.0,2.0,2.7330900185288094,876.0151739808458,352.25593979423746,6.992998980787783,42.81552705564147,14.794706370666669,12.0,True,100.69102876959602,121.69196046483913,23.812882351089776,31.22549817805133,True,touchdown,89.35120407522997,356.5848565117693,-2.371111411609508,0.0603529820824136,0.4649191377421552,23.498720361299707,1697.8053374236829,False,True,False,False,15.755251273628,2.992,0.575,False,31.0,70.5,544.7,True,24.4132742167532,510.3337956784558,31.497558111212584,45.590454611466505,701.5104766370416,0.1395511042427184,16481.461494009727,0.999937086032204,-1.0,refine,-0.7846321529437167,1015.7185932707472,151.69958618552033,487572.0,-6.508330442738343,11032.359192470623,True,0.7473392167486066,1.0,-10.509416637564756,-177.39703037134552,702115.1281708921,13.369027580904694,-169.81088993656886,3.857337247921568,True,7.058348827827884,25994.80974334095,0.0,9.8,387.4,3.694,stable_2,420.0,4200.0,13.364777326463791,-169.82842299898292,1.956953937695814,,,,1.0,True,,1.0,True,,1.0,True,,3,True,1.0,nominal_splashdown,True
True,,26223.192049152764,2.9529227851360096,807.8431398148368,184.99986168262828,185.0001382981697,3143.1397613487734,True,,2,469.9281587600708,6043.759312409297,114.84976375024836,5.718811476254905,3.0,2.0,5.248048459037424,877.4096353798226,356.8183729346728,6.425117019468366,42.771381944734784,14.93749693071913,12.0,True,100.73382338950644,121.6258473875397,23.822805323342,31.23306284784624,True,touchdown,93.7410274639396,375.0248162681643,-2.371111411609508,0.0603663501924688,0.5728503064779047,23.44523661890756,3012.877472191893,False,True,True,False,18.156858860645443,2.921,0.57,False,31.0,70.5,544.7,True,25.02177804887923,507.197242481162,31.56355868368405,49.39451187963945,697.9526822834134,0.2670947244850774,16725.58165546461,0.9999992862504454,-1.0,refine,-0.5713661441579461,1014.0168935032808,154.1413431871832,487572.0,-6.359991453495988,11032.311103044078,True,1.150777393648922,1.0,-10.219617138128134,-177.32910244993005,702116.7978267819,13.654209907605578,-169.7271462604105,33.18575848974918,True,6.22496944981001,22937.56220913452,0.0,9.8,387.4,3.332,stable_2,420.0,4200.0,13.653574276400793,-169.7424324001147,1.6550689976773028,,,,1.0,True,,1.0,True,,1.0,True,,3,True,1.0,nominal_splashdown,True
True,,35351.8392014856,3.966834020995914,933.7343670844168,184.9999999998864,184.9999999998864,3142.2218353037943,False,sm_failure_lunar_orbit,3,105.71453738212584,7531.871609270608,103.28721129255136,4.428072362070298,1.0,1.0,23.0186296257025,884.4957041351657,358.6689460540149,,45.0,15.647807034227297,,True,97.4275107355928,108.4755600141345,20.09561540693282,28.108450361078127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.52604543508455,,,0.85,True,,0.85,True,,0.85,True,,3,True,0.85,lm_lifeboat_abort_lunar,False
True,,35394.33324509,4.021962670132887,701.9131402526411,184.99999999992085,184.99999999992085,3142.422807114979,True,,4,531.7032086849213,7083.345759230786,103.37903329907915,1.558914188774225,3.0,1.0,15.75581324386182,884.0979578014087,358.7227739056324,,45.0,15.65138652541029,,True,97.51782179628032,108.61584595748526,20.1043666058482,28.11570469455193,True,touchdown,70.6609961788886,279.07765385045434,-2.371111411609508,0.0303898452960041,-3.332847031188608,-35.08313984513419,5830.9339636590485,False,True,True,False,18.327262235067835,3.724,0.628,False,31.0,70.5,544.7,True,25.48523775489535,503.43316248350857,29.07045233155145,40.31648852313935,693.6775977168151,0.0425102428808423,16654.197605956786,0.9999882510690552,-1.0,refine_chain,,1011.08372335668,152.70673012754207,485562.0,-6.455302233149803,11030.599680881778,True,6.048711857664502,1.0,-10.5308588618881,-177.4302354526987,702197.236135678,13.496434295799329,-170.3365207987797,54.79998591093943,True,6.527309760689642,23656.024575645475,0.0,9.8,387.4,1.462,stable_2,420.0,4200.0,13.49993669625864,-170.35391865862567,1.9231591883970196,,True,,1.0,True,,1.0,True,,1.0,True,,3,True,1.0,nominal_splashdown,True
True,,35362.11858990292,4.034396984897539,691.3210647555014,184.9998801930696,185.0001197491549,3143.49569628006,True,,5,569.3078413009644,5673.381926187771,112.94902045778116,11.378992044268244,3.0,2.0,2.184901895933756,875.5166654922677,352.2386557568683,6.935332500310198,42.816064360071486,14.794630313399352,12.0,True,100.69301397972276,121.68906704928632,23.82104707027445,31.232276313798188,True,touchdown,90.04291978739508,359.4844748237067,-2.371111411609508,0.0617983213859383,0.5118796476794193,23.887759302217084,3098.1666669911,False,True,False,False,14.023235338277598,4.68,0.698,False,31.0,70.5,544.7,True,25.22896322349925,517.2033334200587,31.522311694651307,53.52265071246324,709.2881291025909,0.4093502673030954,16672.264156168625,0.9999458887210602,-1.0,refine,-10.258588011570586,1011.4930868383384,151.91653480558315,487572.0,-6.468775684384743,11032.860408990282,True,0.0,0.0,-9.549387448005447,-177.1017901596601,701509.5014289233,13.42824679228983,-167.08415412293542,299.01319457014694,True,6.917952495552234,25034.809258292466,0.0,9.8,387.4,2.332,stable_1,0.0,3780.0,13.447101081918834,-167.07912309053876,2.168384285531543,,,,1.0,True,,1.0,True,,1.0,True,,3,True,1.0,nominal_splashdown,True
True,,35266.37192967684,4.004484855615745,688.3391927858016,185.0000003872821,185.0000003872821,3143.0217071379066,True,,6,754.3824374675751,6175.674624976083,132.83360366936424,4.335432558841066,3.0,1.0,32.5979958144181,882.9115042770405,359.8267335568775,4.615365745451068,42.77473215198903,14.954699172183808,12.0,True,100.75881176759349,121.59126662190792,24.53121924506473,31.800319889520647,True,touchdown,82.00046563809524,325.909198177659,-2.371111411609508,0.0290375312089913,-2.0059762959243392,-7.170735748551167,4211.54198182942,True,True,False,False,19.72624993940593,3.603,0.621,False,31.0,70.5,544.7,True,23.35936231678701,498.983491664279,34.68436984884579,48.38857074524742,688.6161064901678,0.1262236976179776,16673.499129003754,0.9999995047262012,-1.0,refine_chain,,1008.6125147874768,153.35634478705634,486972.0,-6.45513513486881,11033.093527946156,True,27.64546401527556,2.0,-10.52919417494363,-177.44015093393773,702157.0635895166,13.318681660181852,-169.75726005097948,11.63607703238548,True,6.574526779877178,23516.85709440338,0.0,9.8,387.4,1.861,stable_1,0.0,3780.0,13.313318434821996,-169.7759504476097,2.110858866776596,,,,1.0,True,,1.0,True,,1.0,True,,3,True,1.0,nominal_splashdown,True
True,,35367.30790210206,4.0163085403685415,690.482943716829,184.9999308144124,185.00006912218316,3142.6524526524654,True,,7,694.3622629642487,6773.738906106614,114.49240004592065,1.894894500951665,3.0,1.0,32.88898534566122,877.6059456223454,357.2659748205268,6.248541072370334,42.76160328399446,14.953161859852328,12.0,True,100.7406182252909,121.61579053991404,23.832540661610047,31.24018308856323,True,touchdown,79.37408255431241,315.0097675761895,-2.371111411609508,0.0581114577449125,0.3164754093253819,22.590407763617552,3416.4354939596824,False,True,False,False,21.608699274199708,3.893,0.64,False,31.0,70.5,544.7,True,24.59633708505053,511.1794732911071,31.62910277132437,42.15889891864894,702.4690193770905,0.0180657374332733,16781.28356812917,0.9999364006171132,-1.0,refine,1.3784208694434104,1011.4247884357748,154.29837341270857,487572.0,-6.468942060974024,11032.359608242954,True,1.2480319276286422,1.0,-10.454229266607964,-177.39094010298726,702135.3015166674,13.440862517868116,-169.8579131261199,7.027030220664522,True,6.416219966089704,24046.671987996266,0.0,9.8,387.4,2.499,stable_1,0.0,3780.0,13.42484959302464,-169.84327998268353,2.384906705260898,,,,1.0,True,,1.0,True,,1.0,True,,3,True,1.0,nominal_splashdown,True
True,,35341.77619686796,4.006237011115613,699.8638585561604,185.00000000100025,185.00000000100025,3142.4105618347867,True,,8,603.3755967617035,7214.442262783109,116.56865306163556,1.782293514052602,3.0,1.0,2.272952277504084,878.5020688242491,358.11029858699595,6.148008203548836,42.76472018587186,14.95859615798737,12.0,True,100.74060629510087,121.61477868532413,23.837765857090744,31.245447374161788,True,touchdown,35.32301808519484,136.83232006435236,-2.371111411609508,0.0628689889752416,0.5528414049329441,24.083301870892186,5487.63091731644,False,True,False,False,21.634307366416675,3.669,0.627,False,31.0,70.5,544.7,True,22.05565394397895,520.175151783144,31.580375802297567,51.02438535289107,712.6466688507056,0.3215780685948347,16717.026591517613,0.9999981757841712,-1.0,refine,0.7788140716089401,1012.9015350557984,154.10242776680457,487572.0,-6.40122405079228,11032.364790082942,True,1.3703218739908547,2.0,-10.324486075489949,-177.3604752212805,702132.6442935576,13.564638208934344,-169.8078057309966,21.053772037652237,True,6.188822173256996,22722.710887572863,0.0,9.8,387.4,1.356,stable_2,420.0,4200.0,13.58186390555665,-169.82169253059996,2.436209419618305,,,,1.0,True,,1.0,True,,1.0,True,,3,True,1.0,nominal_splashdown,True
True,,35350.3265922968,3.98220751217302,692.9936630050637,185.00000000000367,185.00000000000367,3142.690490323872,True,,9,1254.2636184692385,6573.398823068018,71.00239778555208,1.3242778223304192,3.0,1.0,45.115676850780495,881.19008303591,361.0998006339211,,50.0,17.55948599484175,,True,75.58154827838554,76.67913076250419,14.963143803511212,23.814954551912894,True,touchdown,56.87924814014139,222.94519982381175,-2.371111411609508,0.0347472835764962,-0.7618597900416525,-159.9823926323268,-109.34536606189248,False,True,False,False,13.449128315085945,3.876,0.64,False,31.0,70.5,544.7,True,26.464581804183776,503.0358648408233,17.994505451287978,31.38251215088423,693.2260138457292,0.1156498978270663,16639.63534923023,0.9999998478596822,-1.0,seed_chain,,1002.4155119477632,152.89437955243608,487902.0,-6.610152302620885,11039.973382835313,True,97.03863300586649,2.0,-10.470542677156748,-177.3979566471061,701601.6249126286,12.123587878157672,-166.53883281943672,385.19868199337503,True,7.655349159049762,28117.574253333085,0.0,9.8,387.4,2.907,stable_2,420.0,4200.0,12.113172621589648,-166.50765397555023,3.586068951081009,,,,1.0,True,,1.0,True,,1.0,True,,3,True,1.0,nominal_splashdown,True
